,employer,link,location,position_title,salary
79,Air Liquide,http://ca.indeed.com/rc/clk?jk=46edf1f299d50849&fccid=0bfc42f123844c30&vjs=3,"Montréal, QC",Data Science Associate - Montreal,
80,Coursera,http://ca.indeed.com/rc/clk?jk=05063150a50331da&fccid=ef63980be6005ec6&vjs=3,"Toronto, ON","Senior Data Scientist, Machine Learning",
81,Scarsin,http://ca.indeed.com/rc/clk?jk=e97e7d4b249d30c2&fccid=ca1eb7a6353c159a&vjs=3,"Markham, ON",Data Scientist/Time Series,
82,Yelp,http://ca.indeed.com/rc/clk?jk=424f8a059094a685&fccid=0e94073a1c937bd1&vjs=3,Remote,Applied Scientist (Remote),
83,PERITUS.AI,http://ca.indeed.com/rc/clk?jk=a50adb5e2d387ece&fccid=6d1dddf9d7cdcbc5&vjs=3,"Montréal, QC",Data Scientist,
84,WilsonHCG,http://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARTAizOW0T4oiE6Epdo0i-SPQERQ6fC7voScIS1kB12kiCtEFYyau3_mwwVyoKQor41HtCXGlFEYA_7LXbW1_k7_VSLfAq2dz9EFCA4Lhz_MQ3SEJOZE3H-rIqZBQ2TzwIrtxjSzqbi7rTY53QDDIzDA3HIFWLY34bt__my2KR4W5TEi4AP01n7R_rF1TGhNuZwuQvjANQC-4OEcgy36TzqG1DqWl0XcPC7Vw2SxtF3ED-VahKipNUVhc4swc-KF3rBOymgkoPS8MI5DftKxK5QitvIiMX1XVxEYKibHYvsy6AsFn27ngvzq_kGT6qiCveZ-KnFuijvQ8oKYbr5dBkIsYu_dw_RqQq_LoewFWmGJGOEJGYlDyOsNW75SNSE34mNHudengUI8vubZYwka2o5gkp0RkSVhP2xnnhwllPpNvD0I0WWHn4&p=9&fvj=1&vjs=3,,Sr. Data Analyst,
85,Mastech InfoTrellis,http://ca.indeed.com/company/Mastech-InfoTrellis/jobs/Data-Scientist-cac3ba60f50db250?fccid=bcc8a80dba7de8ef&vjs=3,"Ottawa, ON",Data Scientist,"$60,102 - $114,667 a year"
86,Wish,http://ca.indeed.com/rc/clk?jk=0eb764568617b3ee&fccid=617690ce838507f3&vjs=3,"Toronto, ON",Data Scientist,
87,SOTI Inc.,http://ca.indeed.com/rc/clk?jk=a4d6772c4f83d01f&fccid=3d38508546395f15&vjs=3,"Mississauga, ON",Senior Data Scientist,
89,TD Bank,http://ca.indeed.com/rc/clk?jk=1579c92fcd8b5095&fccid=d7114f1cac8d0711&vjs=3,"Toronto, ON","Senior Analyst, Campaign Analytics & Insights",
90,Zynga,http://ca.indeed.com/rc/clk?jk=78042a8404c03856&fccid=f379417fa48d0010&vjs=3,"Toronto, ON",Data Scientist II,
91,Goldman Sachs,http://ca.indeed.com/rc/clk?jk=8982d4e17cece6d7&fccid=16a97ed26c75bf2d&vjs=3,"Toronto, ON",Machine Learning Engineer - Core Engineering,
92,EPAM Systems,http://ca.indeed.com/rc/clk?jk=41b429065c5a899c&fccid=532afac41b2663f7&vjs=3,"Toronto, ON",Big Data Technical Consultant,
93,7D Surgical,http://ca.indeed.com/rc/clk?jk=50ae513cdfbe8018&fccid=86c28b84f2d86fb1&vjs=3,"Toronto, ON",Data Analyst Intern,
94,Bell Canada,http://ca.indeed.com/rc/clk?jk=4552eb375a87083f&fccid=6d9b8e75dfffb17e&vjs=3,"Toronto, ON","Developer, Machine Learning Engineer",
96,MasterCard,http://ca.indeed.com/rc/clk?jk=1ed3edc3bdcf2de0&fccid=10b5c722d846df43&vjs=3,"Vancouver, BC",Senior Data Analyst,
97,ThinkRF Corp,http://ca.indeed.com/rc/clk?jk=89d62e96f7518185&fccid=8cb77549dbb0e57d&vjs=3,"Ottawa, ON",Machine Learning Programmer,
100,Medlior Health Outcomes Research Ltd.,http://ca.indeed.com/company/Medlior-Health-Outcomes-Research-Ltd./jobs/Data-Scientist-40c7a3917060d97d?fccid=339646b424dc5cb3&vjs=3,"Calgary, AB",Data Scientist,"$80,000 - $98,056 a year"
104,HollandGroupFinancial,http://ca.indeed.com/company/HollandGroupFinancial/jobs/Manager-Analytic-Reporting-0dc067fd6f6dd8f1?fccid=c55d52082bbb4cfe&vjs=3,"Toronto, ON",Manager Analytics Reporting,"$90,000 - $110,000 a year"
106,Huddle,http://ca.indeed.com/rc/clk?jk=062bee07cbcc910b&fccid=4679ec1dd2878ba1&vjs=3,"Moncton, NB",Data Scientist,
109,CI Investments Inc,http://ca.indeed.com/rc/clk?jk=54cbf95e53d58d0d&fccid=e981b35e4c0452a3&vjs=3,"Toronto, ON",Data Scientist,
114,Global Relay,http://ca.indeed.com/rc/clk?jk=15caff3b5b594942&fccid=0d3fa1b8c4aea5ad&vjs=3,"Vancouver, BC",Senior Data Scientist,
