,employer,estimated_salary,link,location,position_title
87,CyberCoders,"$140,000 - $160,000 a year",/jobsearch/viewjob/fOlVxaqn4p8k8w_KVYTS3fIf_TuMWw6w6P9ojMOwMxJ64C_3isO4zA?ak=data+science&l=,"— Kitchener, ON",Software Development Manager (AI Platform / Backend)
88,Chata Technologies Inc,"Estimated: $64,000 - $89,000 a year",/jobsearch/viewjob/oLoxzPanD1_5ZXchUQ723gz6G0h1GtNlkN9Y7yrOp4YlVZcc2oSODw?ak=data+science&l=,"— Calgary, AB",Data Scientist - NLP
89,Canadian National Railway,"Estimated: $64,000 - $89,000 a year",/jobsearch/viewjob/_4vdaU8Ja9QVCJbxqnZdh5YY2fS-QYMvBjFZb7zhkqYKuQzrOhO8Dw?ak=data+science&l=,,"Spécialiste, System Design, Data Scientist Machine Learning and Visual Analytics"
90,Restaurant Brands International,"Estimated: $81,000 - $110,000 a year",/jobsearch/viewjob/nNAT34tn6n9oEaN0esYrd5Jgvwwggv1wogRr8YLPJk-Txy-I43pW-w?ak=data+science&l=,"— Toronto, ON","Data Scientist, People Analytics"
91,Points International,"Estimated: $75,000 - $100,000 a year",/jobsearch/viewjob/zjnIc_7c7YYuch777D9HhQwKWqkrb9wG_qVU-H8zPw7lw1Rf4TSEEA?ak=data+science&l=,"— Toronto, ON",Data Scientist
92,Chisel AI,"Estimated: $47,000 - $66,000 a year",/jobsearch/viewjob/8AaeOsvg9tRhNir3dgdbrd5ChC5w9XNlZQ9VAtkFi1FSCSPcQY62bw?ak=data+science&l=,"— Toronto, ON",I'd love to work at Chisel AI!
93,SomaDetect,"Estimated: $68,000 - $94,000 a year",/jobsearch/viewjob/Hjpj_QnczO70frX9uBbmfWb9rncP-GfGdISkQ5QCHpgV5LXUasUfZw?ak=data+science&l=,— Quebec Province,Data Science Team Manager
94,RBC,"Estimated: $55,000 - $77,000 a year",/jobsearch/viewjob/cdk3lkakBSLYD-vCU-lC_XdirUec3Dyc3fRO_XdvVEhh7zbYefr1IA?ak=data+science&l=,"— Toronto, ON",Artificial Intelligence Engineer
95,RPS Real Property Solutions Limited,"$65,000 - $85,000 a year",/jobsearch/viewjob/YrTS7AMFWOOuSDLLtc61OEi45jdoqQLn66GCF447mu0vrPX_b03OEA?ak=data+science&l=,"— Toronto, ON","Senior Analyst, Data & Analytics"
96,BMO Financial Group,"Estimated: $100,000 - $140,000 a year",/jobsearch/viewjob/uMyhFNXHOlEfXyqAGI6_xKcuxa00acurTA0fhPadHQrUrVOLPWKzow?ak=data+science&l=,"— Toronto, ON",Senior Data Scientist
97,Dean Group,"Estimated: $87,000 - $110,000 a year",/jobsearch/viewjob/pgjTeCforHeis9sa7JpF91UZIYya3AY1wjlZdIQRQx19yt2EnvQM6w?ak=data+science&l=,"— Toronto, ON",Machine Learning Engineer
98,Songistry,"Estimated: $41,000 - $55,000 a year",/jobsearch/viewjob/3QSASpjWPifODEYTiNAB6J8ywx1sABhAjKp1h1Cll43NiZWuWf9Enw?ak=data+science&l=,"— Edmonton, AB",Social Media Marketing Expert (Global Music AI Platform)
99,Facebook,"Estimated: $41,000 - $55,000 a year",/jobsearch/viewjob/wZCYongrTiPnLS2raV_9S9RgRvWR3Q3JsA413ThzowZkFboGi-fjmw?ak=data+science&l=,,"Visiting Researcher, Artificial Intelligence"
100,The Globe and Mail,"Estimated: $82,000 - $120,000 a year",/jobsearch/viewjob/S6aiNrbjJNkx2J7qMOUAaqhDEkqD3RlCVQRt16VAyQNb4Ndn5EaCYw?ak=data+science&l=,"— Toronto, ON",SENIOR DATA SCIENTIST
101,Perennial Inc.,"$69,000 - $85,000 a year",/jobsearch/viewjob/XpqitlpA1v9OAQFWAt3N_rFOeIkHerdBcTM7-NiaI41xQWIyeOr33w?ak=data+science&l=,"— Bolton, ON",Data Scientist
102,Praemo,"Estimated: $80,000 - $110,000 a year",/jobsearch/viewjob/OyJWyksoxo9-YnSlA47Bnkaxtyblq4lwgBSOp9vAkoT-6VSQRB9vig?ak=data+science&l=,"— Kitchener, ON",Data Scientist
103,The Globe and Mail,"Estimated: $76,000 - $100,000 a year",/jobsearch/viewjob/g4UIk0Mo_Qx-t92SUv8SCKk0mwLePZWkqizHjkgIWIMoDhS9oblzBA?ak=data+science&l=,"— Toronto, ON",SCRUM MASTER (DIGITAL & DATA SCIENCE)
